statistic_name,stage_t,mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_seed,B_boot
Regret_IEO_pop_sims,35,3.0309680591665616e-05,2.678343479498151e-05,3.426330722655791e-05,20260913,2000
Regret_IEO_pop_sims,36,3.218794413486162e-05,2.828361036175502e-05,3.6653238037539505e-05,20260913,2000
Regret_IEO_pop_sims,37,2.7574163970313422e-05,2.4203732431269164e-05,3.128102368405864e-05,20260913,2000
Regret_IEO_pop_sims,38,2.79130845408823e-05,2.3773872951846193e-05,3.236114569490677e-05,20260913,2000
Regret_IEO_pop_sims,39,1.9278630937145788e-05,1.6942489233417265e-05,2.170027777820062e-05,20260913,2000
Regret_IEO_pop_sims,40,1.8655066016004942e-05,1.616022173243141e-05,2.1556745515031356e-05,20260913,2000
Regret_IEO_pop_sims,41,1.4686229725512274e-05,1.2786343642002658e-05,1.6862320543911213e-05,20260913,2000
Regret_IEO_pop_sims,42,1.143500833342744e-05,9.948802016469586e-06,1.3057748289476154e-05,20260913,2000
Regret_IEO_pop_sims,43,8.659403211368153e-06,7.5778441194001334e-06,9.972720112603649e-06,20260913,2000
Regret_IEO_pop_sims,44,6.0173582286422296e-06,5.258404084363781e-06,6.893925221393047e-06,20260913,2000
Regret_IEO_pop_sims,45,4.5048870100392896e-06,3.874198087680679e-06,5.186010083786643e-06,20260913,2000
Regret_IEO_pop_sims,46,3.0116570821122813e-06,2.678198915375424e-06,3.3853737813831387e-06,20260913,2000
Regret_IEO_pop_sims,47,2.1582196846264514e-06,1.8286329353094623e-06,2.5180716350424078e-06,20260913,2000
Regret_IEO_pop_sims,48,1.0428984579115267e-06,9.237569439708975e-07,1.1778748192468608e-06,20260913,2000
Regret_IEO_pop_sims,49,4.2960082879573115e-07,3.836393619111529e-07,4.805256298959486e-07,20260913,2000
Wealth_Paths_ETO,0,1,1,1,20260913,2000
Wealth_Paths_ETO,1,1.007438821905876,1.0070403282270601,1.0078377540737524,20260913,2000
Wealth_Paths_ETO,2,1.014509781521658,1.0139292207536854,1.015114256043996,20260913,2000
Wealth_Paths_ETO,3,1.021714169974764,1.0210037472586186,1.0224755627467643,20260913,2000
Wealth_Paths_ETO,4,1.0290138193750795,1.0281287357052902,1.0300094525804744,20260913,2000
Wealth_Paths_ETO,5,1.0369303337470648,1.0357796517471978,1.038102198732781,20260913,2000
Wealth_Paths_ETO,6,1.044244967278831,1.0429161009769956,1.0456305973074027,20260913,2000
Wealth_Paths_ETO,7,1.0521013746071677,1.0506080203933654,1.0536490680548467,20260913,2000
Wealth_Paths_ETO,8,1.05961813306839,1.05803819982967,1.0612666924379113,20260913,2000
Wealth_Paths_ETO,9,1.0676266274634743,1.0658415606992424,1.069436625111163,20260913,2000
Wealth_Paths_ETO,10,1.075124111557331,1.0731417915623542,1.0770811197219434,20260913,2000
