stage_t,regret_pop_eto_mean,regret_pop_ieo_mean,regret_pop_eto_se,regret_pop_ieo_se,regret_pop_eto_minus_ieo,delta_paired_bootstrap_ci_low,delta_paired_bootstrap_ci_high,regret_pop_eto_median,regret_pop_ieo_median,regret_pop_eto_p90,regret_pop_ieo_p90,regret_pop_eto_p95,regret_pop_ieo_p95,regret_pop_eto_p99,regret_pop_ieo_p99,max_regret_eto,max_regret_ieo,max_contribution_to_mean_eto,max_contribution_to_mean_ieo
10,0.000183017943574885,0.000182260064573072,2.1144485134565e-05,1.27459874488242e-05,7.57879001812086e-07,-2.92209774713291e-05,3.43641805650542e-05,3.2807085212711e-05,6.4813337038848e-05,0.000149028535841178,0.00032520691526784,0.000431940421952555,0.000584543496741584,0.00380451226558958,0.00206988434829677,0.0213804494028794,0.0119657811343025,0.0584108011085023,0.0328261189919229
11,0.000210509375078793,0.000179455450470116,2.98078136258119e-05,1.21985274782899e-05,3.1053924608677e-05,-1.14105656438714e-05,8.55091322561005e-05,3.09845276851857e-05,6.27913681387556e-05,0.000178222772672186,0.000325038859827965,0.000650875183784433,0.000656148479817669,0.00358049534074409,0.00241883343785071,0.0453001528884411,0.0147463864601396,0.107596521227345,0.0410864825267464
12,0.00022210585861542,0.000179763208045831,2.77363446080006e-05,1.34105511640449e-05,4.23426505695893e-05,-1.11648819767061e-06,8.98552953004999e-05,2.97646696578125e-05,5.94696589864334e-05,0.000159407108932219,0.000289263775708432,0.000547369343244283,0.000576345403157485,0.00512988286529812,0.00265672158044612,0.0202014004201366,0.0134992909309251,0.0454769643314893,0.0375474244081232
13,0.000185066638226652,0.000167778345189694,1.83356023552472e-05,1.36027436560059e-05,1.72882930369585e-05,-1.14342270208704e-05,4.84219820615748e-05,2.73816330141504e-05,5.66574181485395e-05,0.000176275749598089,0.000290626801121767,0.000665764401345963,0.000568644744359487,0.00425514165835748,0.00204189904469853,0.0154868161423662,0.0179618083630448,0.0418411883707517,0.0535283869403312
14,0.000171361079437819,0.000147399850781681,1.76832557153851e-05,8.26336479672295e-06,2.39612286561376e-05,-3.19882319716258e-07,5.20605249630274e-05,2.68446067788265e-05,5.60224875511708e-05,0.000177410515556183,0.000291006381267505,0.000538035859287284,0.000540349525240988,0.0041489433163555,0.00191281786358799,0.0150538697295406,0.00666610824581759,0.0439244132300274,0.0226123303736955
15,0.000192144727863315,0.000159907177539398,2.067120785686e-05,1.22909611065554e-05,3.22375503239166e-05,4.39812038057065e-06,6.56292300928276e-05,2.50735926010737e-05,5.12302206267149e-05,0.00018226396635427,0.000274802102427753,0.000616020403325309,0.000510255017276457,0.00448591800818141,0.00232762198356287,0.0148739934141942,0.0153868269014281,0.0387051822331941,0.0481117456332973
16,0.000182662228157247,0.000144396894076153,2.07701326657134e-05,7.93049470772763e-06,3.82653340810942e-05,1.03276734087741e-05,7.1345782081031e-05,2.43345155480331e-05,4.97222847209064e-05,0.000196359388703358,0.000281476683826086,0.000705231102712827,0.00055378040277833,0.00353753454723253,0.00205101216819638,0.023527455053803,0.00484692461015057,0.0644015330677702,0.0167833409477436
17,0.000186805822752806,0.000143869430154199,2.18513560970236e-05,9.66157971317229e-06,4.29363925986075e-05,1.19662946065984e-05,7.9195828148902e-05,2.32720810994005e-05,4.42025303631123e-05,0.000146934750795148,0.000237152853394924,0.000681227647959758,0.000522894011231626,0.00439218677628145,0.00192561867509942,0.025847394155218,0.00721498993642277,0.0691825173710483,0.0250747845761597
18,0.000149609167579645,0.000129353754024035,1.63805446664665e-05,8.52808043960367e-06,2.02554135556103e-05,-3.92390608262294e-06,4.88958592786906e-05,2.11244300486665e-05,4.34139615223461e-05,0.000154663929824219,0.000236342098605748,0.000568309240075448,0.00047263880246929,0.00268162811217599,0.00162617439539334,0.0182028497504619,0.00736017061647234,0.0608346735863347,0.0284497758569294
19,0.00014479841441351,0.00012092891141377,1.90436556863456e-05,7.72121350487023e-06,2.38695029997398e-05,-1.8179016240338e-06,5.66988395900114e-05,2.02896657180054e-05,4.104889770203e-05,0.000123307666705628,0.000198224159373199,0.000472390321509795,0.0004288316094749,0.00280647238831032,0.00172507249624517,0.0248315175824215,0.00504134612384169,0.0857451294718899,0.0208442549631173
20,0.000169212755897091,0.000121380950230356,1.81000372950926e-05,7.5264344153573e-06,4.78318056667347e-05,2.14745402793006e-05,7.78964068552807e-05,1.95017833966849e-05,3.87797709742842e-05,0.000166461953229866,0.00022565740553223,0.000560154055371774,0.000464494344715027,0.00395406901996239,0.00166289369211807,0.0141581459333807,0.00471490243715688,0.0418353387672239,0.0194219209365594
21,0.000149012916166298,0.000118000081412896,1.88963121952813e-05,7.27773421988101e-06,3.10128347534023e-05,5.76881776999697e-06,6.08446980387321e-05,1.78890827772776e-05,3.71479791995251e-05,0.000178449834019825,0.00023297462191908,0.000600706174016153,0.000451993119124531,0.00255147200477347,0.00175594084423983,0.0276348077348824,0.00754668521685949,0.092726216108817,0.0319774576699349
22,0.000123523601901653,0.000110087609926082,1.6408514874251e-05,8.7801319593005e-06,1.3435991975571e-05,-7.61787435546813e-06,4.05339282177292e-05,1.70008651915765e-05,3.41880506038149e-05,0.000110468434249798,0.000204052934796552,0.00036349436654551,0.000429813343361893,0.00256556442228869,0.00118832219866511,0.020996742641638,0.00939592835843295,0.0849908127612536,0.0426747767743429
23,0.000115274441386136,9.77537044390866e-05,1.24684473445086e-05,6.29828404592646e-06,1.75207369470494e-05,-1.1373399346832e-06,3.7512151895649e-05,1.55172820557875e-05,3.12571417770736e-05,0.000102891383044998,0.000180111344278844,0.000354394897174043,0.000355469226738349,0.00244677682118103,0.00137706096665925,0.00961254573753423,0.00409290942912722,0.0416941761848795,0.0209348047350862
24,0.000109111224186211,9.63567450070152e-05,1.01791170297193e-05,5.71829473798326e-06,1.27544791791959e-05,-2.4990514345141e-06,2.80626446354132e-05,1.47555779150557e-05,2.97145038724538e-05,0.000115855958804694,0.000174944976099463,0.000470340939448716,0.00038656970868972,0.00210289997978957,0.0013309313796406,0.00806649042153512,0.00301661690859919,0.036964530834008,0.0156533769814431
25,0.000119506728074522,9.83232794337303e-05,1.42298265388843e-05,6.01437173472513e-06,2.11834486407919e-05,4.90733920086524e-07,4.5375216675965e-05,1.42711641126904e-05,2.83337260428797e-05,0.000118941769581999,0.000166621107922841,0.000418407002920399,0.000410292786344228,0.00244881598797153,0.0015092155453308,0.0131702485827616,0.00346555426991442,0.0551025402291528,0.0176232642456266
26,9.61868294184267e-05,8.9641970137681e-05,1.0614627608154e-05,6.36947779780555e-06,6.54485928074569e-06,-7.36638752055561e-06,2.20281670004189e-05,1.25823522473469e-05,2.65322551370722e-05,9.98398724827051e-05,0.000164555593337728,0.000339237744502339,0.000343482887618449,0.00167621315730246,0.00116405647448455,0.010718549506066,0.0061092733220721,0.0557173449362737,0.0340759652687735
27,8.21061993132924e-05,7.48138732739988e-05,7.88031859791512e-06,4.91246999522071e-06,7.29232603929365e-06,-2.54559444785932e-06,1.70972064493626e-05,1.16879779083337e-05,2.4121086880236e-05,9.10356244093864e-05,0.000132730169478568,0.000319428986487298,0.000268155226267634,0.00176945517853413,0.0010725841974334,0.00692533723186466,0.00399104140871741,0.0421730471620033,0.0266731371740412
