stage_t,mean_slope_gap,mean_intercept_gap,mean_slope_angle_degrees,mean_intercept_angle_degrees,median_slope_gap,median_intercept_gap,slope_gap_bootstrap_ci_low,slope_gap_bootstrap_ci_high,intercept_gap_bootstrap_ci_low,intercept_gap_bootstrap_ci_high,slope_angle_bootstrap_ci_low,slope_angle_bootstrap_ci_high,intercept_angle_bootstrap_ci_low,intercept_angle_bootstrap_ci_high
13,19.0039313206508,128.735593723425,11.2412466138619,8.5555597589909,3.58082840038913,11.7671677996962,16.84665979392064,21.287174440858234,111.71796472690527,147.19180542176485,9.688765438147295,12.870845520765604,7.904348012428952,9.272820153021593
14,19.3646232797907,125.406381438963,10.3854393806826,8.16880072023925,3.57302319649263,12.2087617540845,17.17680083350135,21.83394968223196,107.64467101201346,144.52717933475424,8.915177577463584,11.940870943492039,7.560962354361767,8.846186238923664
15,20.7816238437823,136.795877282339,11.3426583361476,7.86694805644357,3.42244462383278,11.7863160839743,18.411332434637327,23.379624441509264,117.87817864439835,156.30207549288951,9.800481582589383,12.92246404752047,7.232627418218529,8.5101881522534
16,20.4445896674227,133.842248730096,12.4741285598741,8.47434812788918,3.69473691140301,10.9318947635023,18.20629093448679,22.96670733004563,117.03532858861082,152.59077278740799,10.940521394277251,14.160780048705153,7.812856863941406,9.116859665127633
17,21.3097610863541,136.885936055452,10.6108399891685,8.83960707052963,3.44463226322594,10.4841283794685,19.019836814074804,24.005706756469497,119.04887039887149,157.11842441753723,9.168388497660544,12.156145409542264,8.157513648287766,9.511458146422827
18,20.6042583855415,125.667511752504,10.3218664502941,8.62720447455842,3.44944350299855,10.6331837872664,18.27062763602907,22.979495433381658,108.69154340161124,143.77195172363514,8.96194851148718,11.89558364709137,7.929617575970458,9.341273461048658
19,19.4212861882369,114.271584266871,9.78208199743599,8.36409720635027,3.39419202546743,10.1464666144664,17.149964634006995,21.753605663688493,97.86726758474275,131.47375630610668,8.455981493323034,11.205204966523604,7.719917274825315,9.065427988063188
20,21.7420128712273,131.385917353974,11.2025313909807,8.50500901986812,3.3853763740537,10.0780112376782,19.188632930005046,24.471869232915694,113.23777705528963,151.11069520538646,9.703518705098565,12.72690936,7.868934229438043,9.191346837724826
21,21.0765282466249,128.015102282815,12.7214854735256,8.12389642495545,3.51174279528942,9.81831228479463,18.7031629290191,23.61233010147408,111.3242350331066,146.4039812341979,11.073893776830818,14.518797327252411,7.528926022789588,8.755741675933702
22,19.1412037088181,107.726814574176,10.1398539065257,8.90193383006887,3.52296091384644,9.94247999463763,16.805552576691404,21.501414858482185,91.55634903053141,125.40125770206653,8.695666567153967,11.58859220140977,8.204566889474844,9.62446812452369
23,19.1192154383771,106.504416459516,10.1189021799336,8.05095645951275,3.21349713513337,9.40208257715282,16.775827508895507,21.493415909841787,90.78914587563615,122.66893524889959,8.790649660587437,11.588096206977365,7.478784875595003,8.649072465492868
24,20.893026809765,114.693681664649,10.5397129226463,8.03033795533503,3.36158581529821,9.87549119258967,18.593542901198468,23.295401787862705,100.14145014072007,130.77632749399433,9.008563014444515,12.08837410851438,7.433808675046179,8.623992910177822
25,21.7824879209071,117.238899184774,11.2841162161877,8.28227535912125,3.36926768993314,9.17244237269482,19.286338075756657,24.617349866814017,101.83632513137532,134.66645466264856,9.774360702268924,12.842617124038087,7.655163221693094,8.955752733109717
26,20.1594159697658,105.291102260015,11.7087310898238,8.16980934280762,3.742747607744,9.67458072893254,17.81471073310444,22.576182375581613,91.26196762771002,120.58062867766023,10.11207926846614,13.351630021654861,7.5254404318541015,8.802756886057951
27,19.4505592748541,96.8523709676094,10.3477344784553,8.78722654641528,3.33104940031059,8.03420737364986,17.33597438770606,21.746174063482357,84.10849444004155,110.98182577306515,8.950426754801631,11.827866368602288,8.126371925978734,9.528319225145568
28,19.5423930239448,96.7722326944882,10.8596668365063,8.32391468560497,3.4625765924503,7.87831576629365,17.4448171677464,21.870366159613287,83.88566512001624,110.82765455570738,9.335676681882447,12.424857458347889,7.655132433780823,9.038533292734051
29,19.5322730254428,91.3099895593832,9.39333558851811,8.4248988323065,3.04371706361569,7.58276675396899,17.50412911835636,21.738586482836727,79.53937643536821,104.38515420267942,8.020344606493293,10.807102482555054,7.82966892146342,9.087697661904546
30,19.7255172917848,89.1150775856151,9.54782802826832,8.67279474941637,3.16279865506409,7.47366393601332,17.63207963274995,22.204689566561782,77.2628802604102,102.31401942239638,8.171547910890618,10.934146196406841,8.021452297370452,9.344453246225493
31,19.095576077508,86.1845995926054,9.64966229853069,8.12634219493507,3.32618083616833,8.16070679892475,16.857270861543853,21.479279784741028,73.56930505518278,99.12420227602391,8.279641957384301,11.114333881407193,7.482099431832716,8.800039223600647
32,19.4357028688337,84.7993808639235,9.91311150341959,8.30492303016355,3.3337628711859,6.85448153727112,17.373276474383044,21.569154527262317,73.91511358106962,96.53038926202187,8.515813418155966,11.360479491202945,7.7043459588347964,8.944474950747038
33,21.8065703037487,95.4269775858957,10.5262892990376,8.16248715363919,3.31003532665547,6.80622052748833,19.462343500905217,24.305413706076134,83.14733808946907,108.84302101184338,9.072821094044295,12.055710949479273,7.561979347502692,8.797565217724815
34,19.535389287745,82.6310408536218,10.6731108919857,8.15830847575758,3.37640851743065,6.76818607611441,17.29434056231426,21.760040718309156,71.22387496048673,93.65142074831728,9.144379939411165,12.200403721181326,7.5027189900978355,8.83514486609559
35,17.2491507119076,65.0995717640815,9.20978749337072,8.55830722729694,3.36085476139707,6.57144806241726,15.359394618677014,19.216893159810148,56.19522067114099,74.88616022926756,7.8935985022308675,10.54073304401327,7.906363074754309,9.258236348627362
36,19.541497751718,73.7795567102003,10.1712466640437,9.32832248108558,3.09747102992176,5.57045354954535,17.402336348179134,21.84305294901044,64.11065804329552,84.25883620412684,8.753943673553284,11.683133346570534,8.634836644309127,10.126578334114381
37,20.080424624901,73.72419018934,9.21377366395676,8.7974999532511,2.94554378749324,5.29240327285441,17.92390553800165,22.527450828223515,63.807134716939146,84.50719044582995,7.845300798322849,10.599476226254584,8.13592000680882,9.441814994575834
38,18.5205932927703,64.7232742392575,9.39245174275599,8.06173772865012,2.8881049821996,5.61626074883831,16.47582636664548,20.62572810584913,56.101836250192214,73.67321221742205,8.025539022302603,10.856634689459856,7.482283230563927,8.700450275699877
39,17.0692609738752,55.6082467474151,8.56403913858548,8.09531655269544,2.98825317345229,5.39169487642606,15.234189095579072,18.942393641075487,48.312849999307566,63.205832627941085,7.251569809270622,9.873791225145519,7.485651801294803,8.716960303991458
40,19.233004226883,61.7431721542219,8.7142969030021,8.01634302954562,3.14644454375988,4.84687463923257,17.103235365840867,21.59936337341055,53.466597901589495,70.59009651516517,7.457095381404583,10.06870601630074,7.434147302843462,8.624844656491982
41,17.8184528017384,53.1035807960371,7.64632356494487,8.81189004623921,3.14880145161815,4.20894975806239,15.913997578866756,19.805750714133243,46.38162656528915,60.73566952637359,6.4721810124882495,8.851107053818385,8.167073076090448,9.50568791604263
42,16.8583679767902,46.7958002780896,7.64561078152027,8.80499232428788,2.82496606484351,3.77074827185995,14.867535974758573,18.904624384789436,39.849315205025235,54.070923727459075,6.49835029848392,8.880528598776024,8.122302325406865,9.519493639898158
43,15.3212732197809,39.4532769767121,7.50269546708188,8.49077980927806,2.88806845665555,3.52297558227057,13.691778514294315,17.10851375961892,34.25887060756217,45.281233664091765,6.3420057077045975,8.777817146845793,7.887601292770806,9.14115755390144
44,13.5355587463082,30.518829448931,5.80433577935979,8.34712289426441,2.73352636167999,3.11793778162737,12.182059257708122,14.945995349855675,26.2832309045138,34.98428115542054,4.80068131068906,6.80837999652326,7.741413039510209,8.993675774766897
45,13.3151148524525,29.2993363301001,6.36742983650639,7.9212651677002,2.90612541961982,2.69379621205541,11.94957632516786,14.767973390299417,25.30356211202751,33.67629080961028,5.315155592466645,7.493611456847557,7.31392846080423,8.537159209547074
46,13.4003237927379,24.9320389579919,5.06374396277791,8.56606484525925,2.89244407057248,2.20879634910345,12.132877291159582,14.718889386130545,21.698991307059913,28.28799540975165,4.169150958585039,6.022471621478056,7.901895889365305,9.244234833113776
47,13.1936561164682,21.3676577927839,5.21265164263991,7.71541115669805,3.02365860291237,1.72063560864652,12.03121417103354,14.410600470608623,18.744193247798005,24.18907663965923,4.31128770534717,6.13464177715947,7.114444213186553,8.333704244076245
48,11.7583926100645,13.8658825127154,3.93951537428521,8.36875800670327,3.27819047148638,1.04864336781558,10.87153347181471,12.74528266642063,12.004182043803034,15.838909680040876,3.271425628981482,4.68811297054386,7.716055986625012,9.0918095244535
49,10.2198700784439,3.78586381336423,2.24305916557613,8.10452777450289,3.35388001562385,0.164755343901606,9.623314593451186,10.921106419257837,3.218505622158052,4.418629867608979,2.025399264938111,2.486673932380322,7.491758496920371,8.74215607555605
