stage,true_regret_eto_mean,true_regret_ieo_mean,true_regret_eto_minus_ieo_mean,intercept_gap_mean,intercept_gap_ci_lower,intercept_gap_ci_upper,slope_gap_mean,slope_gap_ci_lower,slope_gap_ci_upper,intercept_angle_mean,intercept_angle_ci_lower,intercept_angle_ci_upper,slope_angle_mean,slope_angle_ci_lower,slope_angle_ci_upper
39,4.22403293531077e-07,6.33136078813573e-07,-2.10732785282496e-07,0.114772945374301,0.112481518383456,0.117084434943751,0.100019906717858,0.0982642394276816,0.101837656925532,0.427209242267673,0.417108296831725,0.437217888424424,0.257839127273063,0.253614225448327,0.262239439102731
40,4.03015164084017e-07,5.83996708230246e-07,-1.80981544146229e-07,0.106502983361356,0.104489557250049,0.108595888617461,0.0962693446373108,0.0945861707473686,0.0979294214659572,0.436013443302237,0.425889990045483,0.446551346162714,0.248248299310776,0.244130335571574,0.252147398944537
41,3.95773077166486e-07,5.66866054708105e-07,-1.71092977541619e-07,0.103183613988381,0.101112980904574,0.105296107732123,0.0942581936099269,0.092515933608421,0.0960263557918275,0.432888877759623,0.422874059511001,0.443378194652272,0.242750818604394,0.238640696114203,0.247003661854502
42,3.91167124141417e-07,5.4973705228128e-07,-1.58569928139863e-07,0.0956584917561574,0.0938289402615662,0.0975373520777773,0.0908171816619245,0.0891633760990277,0.0924642886753237,0.430611682381978,0.420234545396622,0.440986695861378,0.23498898860108,0.230998996681963,0.238970166545555
43,3.69218337164274e-07,5.06237940009745e-07,-1.3701960284547e-07,0.0874791240584307,0.0858323504702114,0.0891109622701566,0.0853138718885516,0.0838597325941613,0.0867721127031633,0.433050144377271,0.423011022392986,0.443304601030999,0.222669218593308,0.219108370885089,0.226274891027401
44,3.68638917001881e-07,4.89602629352067e-07,-1.20963712350185e-07,0.080079442775612,0.078649196894752,0.081547581426872,0.0810601753233522,0.0796392942016083,0.0825307422254829,0.435294786457992,0.425030537860804,0.445520133003624,0.211513192498745,0.207983008906006,0.215206359079104
45,3.55599946625191e-07,4.72453412577058e-07,-1.16853465951867e-07,0.0713455174015256,0.0699835790752425,0.0726815547278813,0.076446629263399,0.07509417824375,0.0778188199766534,0.42845953518611,0.418449959780154,0.438894436173482,0.199862333546148,0.196432976088981,0.203370072997712
46,3.50251049929289e-07,4.61334773975529e-07,-1.1108372404624e-07,0.0616535200785684,0.0605374111465923,0.0627966622883935,0.0692441591491014,0.0680264793752887,0.0704573272442744,0.431185983822933,0.421287175841511,0.441216796638802,0.181896630277482,0.178778071887315,0.185050161531186
47,3.49390724656743e-07,4.54410997188799e-07,-1.05020272532056e-07,0.0486844950156665,0.0477823368876279,0.0496441501095089,0.061303467868164,0.060216201804189,0.0624840672303784,0.43376003088911,0.423181821256708,0.444372258993668,0.161311490337433,0.15854421350488,0.164233500990898
48,3.44290826635784e-07,4.48892651469849e-07,-1.04601824834065e-07,0.0305172956465531,0.0299397676667162,0.0311017414021347,0.0518837967835077,0.0509094064150673,0.0528566372903107,0.430497860239135,0.419883382068083,0.441237946590751,0.137439259444504,0.134917972993079,0.139979234536927
49,3.33995126405647e-07,4.35894632253306e-07,-1.0189950584766e-07,0.00272667960855104,0.00265868987016883,0.00279540460691391,0.0446110959682629,0.0437758576873795,0.0454922627735919,0.431617837930395,0.421495241363641,0.442231837571744,0.119225529377959,0.116971230762759,0.121613377495136
