stage,wealth_eto_mean,wealth_eto_ci_lower,wealth_eto_ci_upper,wealth_ieo_mean,wealth_ieo_ci_lower,wealth_ieo_ci_upper,wealth_eto_minus_ieo_mean,wealth_difference_ci_lower,wealth_difference_ci_upper
32,1.00874604156766,1.00872914082858,1.00876294230673,1.00898090710359,1.00896016362128,1.0090016505859,-0.00023486553593623,-0.000243754219062727,-0.000225976852809733
33,1.00900724598381,1.00899009286685,1.00902439910078,1.00924529516318,1.00922427444034,1.00926631588602,-0.000238049179364709,-0.000246977404450951,-0.000229120954278467
34,1.00926906424362,1.00925175525776,1.00928637322947,1.00951098056375,1.00948973415397,1.00953222697353,-0.000241916320135421,-0.000250916253844927,-0.000232916386425914
35,1.00952935146813,1.00951180988707,1.00954689304918,1.00977425326273,1.00975280320191,1.00979570332355,-0.000244901794605185,-0.000253962690868138,-0.000235840898342232
36,1.0097907055275,1.00977301002441,1.00980840103058,1.0100382066528,1.01001662136214,1.01005979194346,-0.000247501125305524,-0.000256618624669643,-0.000238383625941404
37,1.01004873421798,1.01003087486453,1.01006659357142,1.01029858724349,1.01027687160824,1.01032030287874,-0.000249853025515722,-0.000258989651699681,-0.000240716399331763
38,1.01030921812541,1.01029117283661,1.01032726341421,1.01056167025753,1.01053977925402,1.01058356126105,-0.000252452132127885,-0.000261617228932383,-0.000243287035323386
39,1.01056756330401,1.01054937031291,1.0105857562951,1.01082308226506,1.010801064263,1.01084510026712,-0.000255518961056265,-0.000264720314613454,-0.000246317607499076
40,1.01082510045915,1.01080677363276,1.01084342728554,1.01108373897624,1.01106156170803,1.01110591624444,-0.000258638517089498,-0.000267890527509845,-0.000249386506669152
41,1.01108143330622,1.01106295059041,1.01109991602202,1.0113419278398,1.01131961466973,1.01136424100988,-0.000260494533586465,-0.000269789621593932,-0.000251199445578998
42,1.01133784211412,1.01131920921106,1.01135647501719,1.01160001775355,1.01157759830124,1.01162243720587,-0.000262175639432292,-0.000271484670806042,-0.000252866608058543
43,1.01159465005758,1.01157589941144,1.01161340070372,1.01185892731691,1.01183641417594,1.01188144045788,-0.000264277259329097,-0.000273626998733439,-0.000254927519924756
44,1.01184764958029,1.0118287425588,1.01186655660178,1.01211361472722,1.0120909580307,1.01213627142374,-0.000265965146928823,-0.000275319116107924,-0.000256611177749722
45,1.01210394728677,1.01208498868266,1.01212290589088,1.01237071400321,1.01234800466825,1.01239342333817,-0.000266766716442424,-0.000276144914292383,-0.000257388518592465
