Date,Food,Food_Return（小数）,Clths,Clths_Return（小数）,Hlth,Hlth_Return（小数）,Chems,Chems_Return（小数）,Cnstr,Cnstr_Return（小数）,Steel,Steel_Return（小数）,Autos,Autos_Return（小数）,Oil,Oil_Return（小数）,Util,Util_Return（小数）,Telcm,Telcm_Return（小数）,Servs,Servs_Return（小数）,BusEq,BusEq_Return（小数）,Paper,Paper_Return（小数）,Trans,Trans_Return（小数）,Whlsl,Whlsl_Return（小数）,Rtail,Rtail_Return（小数）,Fin,Fin_Return（小数）,Mines,Mines_Return（小数）,ElcEq,ElcEq_Return（小数）,Meals,Meals_Return（小数）
2017-02-07,0.55,0.0055000000000000005,-0.68,-0.0068000000000000005,-0.07,-0.0007000000000000001,-0.55,-0.0055000000000000005,-0.15,-0.0015,-0.05,-0.0005,-1.41,-0.0141,-1.52,-0.0152,-0.2,-0.002,-0.1,-0.001,0.19,0.0019,0.48,0.0048,0.41,0.0040999999999999995,-0.3,-0.003,0.26,0.0026,0.23,0.0023,-0.19,-0.0019,-1.96,-0.0196,1.53,0.015300000000000001,0.16,0.0016
2017-02-08,0.25,0.0025,1.83,0.0183,-0.21,-0.0021,0.12,0.0012,-0.25,-0.0025,0.92,0.0092,0.31,0.0031,0.09,0.0009,0.8,0.008,0.15,0.0015,0.19,0.0019,0.11,0.0011,0.71,0.0070999999999999995,0.14,0.0014000000000000002,0.22,0.0022,1.03,0.0103,-0.72,-0.0072,0.76,0.0076,-0.21,-0.0021,0.57,0.005699999999999999
2017-02-09,0.3,0.003,1.76,0.0176,0.56,0.005600000000000001,0.37,0.0037,0.9,0.009000000000000001,3.82,0.0382,1.01,0.0101,1.15,0.0115,-0.47,-0.004699999999999999,0.49,0.0049,0.71,0.0070999999999999995,0.4,0.004,-0.24,-0.0024,0.87,0.0087,0.88,0.0088,1.04,0.0104,1.34,0.0134,-1.35,-0.013500000000000002,0.63,0.0063,0.81,0.008100000000000001
2017-02-10,-0.13,-0.0013,2.22,0.0222,0.11,0.0011,1.02,0.0102,1.04,0.0104,1.4,0.013999999999999999,0.62,0.0062,0.82,0.008199999999999999,0.64,0.0064,0.23,0.0023,0.54,0.0054,0.0,0.0,0.57,0.005699999999999999,0.54,0.0054,0.26,0.0026,0.37,0.0037,0.25,0.0025,1.58,0.0158,0.62,0.0062,0.78,0.0078000000000000005
2017-02-13,0.0,0.0,-0.57,-0.005699999999999999,0.64,0.0064,0.98,0.0098,0.21,0.0021,2.3,0.023,1.39,0.0139,0.03,0.0003,0.4,0.004,-0.46,-0.0046,0.44,0.0044,0.74,0.0074,0.4,0.004,0.8,0.008,0.07,0.0007000000000000001,0.02,0.0002,1.01,0.0101,0.64,0.0064,0.7,0.006999999999999999,-0.15,-0.0015
2017-02-14,-0.09,-0.0009,0.83,0.0083,0.8,0.008,0.09,0.0009,-0.15,-0.0015,-0.65,-0.006500000000000001,1.17,0.011699999999999999,0.33,0.0033,-0.55,-0.0055000000000000005,0.31,0.0031,0.2,0.002,0.55,0.0055000000000000005,0.25,0.0025,-0.11,-0.0011,0.43,0.0043,0.74,0.0074,1.16,0.0116,-0.24,-0.0024,-0.25,-0.0025,0.41,0.0040999999999999995
2017-02-15,0.35,0.0034999999999999996,0.15,0.0015,1.32,0.0132,0.01,0.0001,1.1,0.011000000000000001,0.24,0.0024,-0.01,-0.0001,-0.3,-0.003,-0.32,-0.0032,0.41,0.0040999999999999995,0.34,0.0034000000000000002,0.61,0.0060999999999999995,0.45,0.0045000000000000005,0.98,0.0098,0.42,0.0042,0.57,0.005699999999999999,0.72,0.0072,-1.23,-0.0123,0.49,0.0049,0.55,0.0055000000000000005
2017-02-16,-0.97,-0.0097,-0.5,-0.005,-0.16,-0.0016,0.02,0.0002,-0.4,-0.004,-0.06,-0.0006,-1.17,-0.011699999999999999,-1.34,-0.0134,0.51,0.0051,0.01,0.0001,0.03,0.0003,0.2,0.002,0.6,0.006,-0.51,-0.0051,-0.1,-0.001,-0.33,-0.0033,-0.2,-0.002,-0.7,-0.006999999999999999,-0.56,-0.005600000000000001,-0.09,-0.0009
2017-02-17,1.0,0.01,1.21,0.0121,0.48,0.0048,-0.03,-0.0003,-0.56,-0.005600000000000001,0.2,0.002,0.5,0.005,-0.55,-0.0055000000000000005,0.04,0.0004,0.5,0.005,0.24,0.0024,0.38,0.0038,0.02,0.0002,0.38,0.0038,0.23,0.0023,0.57,0.005699999999999999,-0.36,-0.0036,-1.3,-0.013000000000000001,-0.4,-0.004,0.5,0.005
2017-02-21,0.92,0.0092,0.48,0.0048,0.14,0.0014000000000000002,0.7,0.006999999999999999,1.16,0.0116,1.44,0.0144,1.14,0.011399999999999999,0.76,0.0076,1.05,0.0105,0.48,0.0048,0.29,0.0029,0.74,0.0074,0.76,0.0076,0.25,0.0025,0.77,0.0077,1.15,0.0115,0.62,0.0062,0.36,0.0036,0.71,0.0070999999999999995,-0.15,-0.0015
