wealth_stage,wealth_eto_mean,wealth_ieo_mean,wealth_eto_se,wealth_ieo_se,wealth_eto_p2_5,wealth_eto_p97_5,wealth_ieo_p2_5,wealth_ieo_p97_5
26,1.17152839433303,1.70367790098356,0.00170507813725239,0.016071549476695,1.06576735311335,1.35802209443651,1.10049387117939,3.74272648514904
27,1.17635704925835,1.72635040613055,0.00172953551456591,0.0162324379152559,1.06975869767835,1.36662939600885,1.10533396728096,3.7990319349302
28,1.18081835630603,1.7461000541433,0.00176291809781704,0.0163849831474453,1.07130905595123,1.3749477226014,1.10802039974825,3.80129948920045
29,1.18525102127125,1.7661753012104,0.0017898488550009,0.0165118966967177,1.07339027376043,1.38054964838423,1.11325382748974,3.7959703322559
30,1.1893784306758,1.78459861209428,0.00181224908023429,0.0166187602866736,1.07626195220271,1.38745190842877,1.11624595664887,3.84160993039275
31,1.19306104177677,1.80110135433471,0.00182830283605897,0.016710125286913,1.07819191079248,1.39295804402707,1.1183641805836,3.84411710484215
32,1.19671878498925,1.81832703822974,0.00184195202038405,0.0167879489907862,1.07972425036099,1.39468572605755,1.12188977159764,3.85916079222811
33,1.20019937398504,1.83392334826312,0.00185288318354987,0.0168299182584804,1.08137425206451,1.40134008915903,1.12390963173721,3.87418351365305
34,1.20378491252673,1.85272597632388,0.0018698600496397,0.0168923622539716,1.08265401184394,1.40667102115782,1.12774536210621,3.88696416817077
35,1.20717292331746,1.86828777655937,0.00187747012045814,0.0169339588181153,1.08384224503526,1.41147890566731,1.13395143803415,3.89315279576302
36,1.2101007896787,1.88020714512897,0.00188624267531708,0.0169478392813878,1.08645955505977,1.41341585935176,1.13541666234801,3.90248483524758
37,1.21310904451215,1.89382937377608,0.00189606698810626,0.0169939255397124,1.08856909855669,1.41914413505773,1.13901028212951,3.92437235257208
38,1.21568119871361,1.90603373081772,0.00190367043385652,0.0170002644027494,1.09087647533402,1.42214521014852,1.14286061263355,3.93193958785545
39,1.21845118842972,1.91793739669758,0.00190730854203399,0.0170149020364792,1.09307955729549,1.42346738871706,1.14578460866638,3.9353394075707
40,1.22079133175992,1.92644898698285,0.00191372509389749,0.0170169135525329,1.09412762098559,1.42692235233428,1.14924207241038,3.93531031241395
41,1.22297534735169,1.93569561437585,0.00192179987073379,0.0170184243173211,1.09558864362559,1.42999747384753,1.15149122499279,3.9423107742805
42,1.22485829040289,1.94352046993744,0.00193095741089192,0.0170153254737382,1.0954522023628,1.43375125326778,1.15260914973885,3.93548619226
43,1.22668051276975,1.94990209331576,0.00193637086676474,0.0169972365085176,1.09755234183533,1.43642591809468,1.15517524452797,3.92498718447011
44,1.2283347972687,1.95520592499846,0.00194172385591944,0.0169868624003436,1.09969092157552,1.43681347259171,1.15775440479136,3.93407944355488
45,1.22971602760853,1.95926286769167,0.00194668888831329,0.0169799639491135,1.10125863672459,1.43734410761315,1.15766001284711,3.93869763344181
46,1.23097330985506,1.96325972679409,0.00194959098538488,0.0169734879704949,1.10087823548313,1.43908399639951,1.1591574142999,3.93709742715891
47,1.2321451053344,1.96616561881615,0.00195192739648741,0.0169518619290834,1.10251961583331,1.4402087834959,1.16411861317902,3.93935119704988
48,1.2331191364842,1.96884223104714,0.00195294840797038,0.0169357770318511,1.10273119116613,1.44383140996735,1.1633156526758,3.93259332539095
49,1.23392869459938,1.97089918498401,0.00195417158067858,0.0169194302941103,1.10381266187956,1.44513946008847,1.16555503601398,3.92310279826282
50,1.23452220270204,1.97315923649618,0.00195619761377427,0.0169406306729655,1.10396678120006,1.44592048880443,1.16635330539971,3.92656137840976
