stage,wealth_eto_mean,wealth_eto_ci_lower,wealth_eto_ci_upper,wealth_ieo_mean,wealth_ieo_ci_lower,wealth_ieo_ci_upper,wealth_eto_minus_ieo_mean,wealth_difference_ci_lower,wealth_difference_ci_upper
30,1.00669743323154,1.00668784641009,1.00670702005299,1.02930439137408,1.02922048999774,1.02938829275043,-0.0226069581425419,-0.0226865012194377,-0.0225274150656461
31,1.00688268268774,1.00687303322671,1.00689233214877,1.029837817625,1.02975349938149,1.02992213586851,-0.0229551349372609,-0.0230350556561559,-0.0228752142183659
32,1.00706614070072,1.00705645631385,1.00707582508759,1.03034026254802,1.03025599412622,1.03042453096982,-0.0232741218472961,-0.0233540168836439,-0.0231942268109482
33,1.00724654680407,1.00723679872491,1.00725629488323,1.03082039304223,1.03073579543816,1.03090499064629,-0.0235738462381584,-0.023654026700289,-0.0234936657760279
34,1.00742453888138,1.00741472437367,1.00743435338908,1.03127191253521,1.03118702168979,1.03135680338063,-0.0238473736538375,-0.0239278126670785,-0.0237669346405965
35,1.0075992722263,1.00758935144381,1.00760919300879,1.03169260069951,1.03160745453588,1.03177774686313,-0.024093328473205,-0.0241739473733357,-0.0240127095730744
36,1.00777242607032,1.00776247035284,1.0077823817878,1.0320876073002,1.03200251593191,1.03217269866848,-0.0243151812298786,-0.0243957430266241,-0.024234619433133
37,1.00794308276407,1.00793309595506,1.00795306957307,1.03245701804119,1.03237186699938,1.032542169083,-0.0245139352771257,-0.0245945697298634,-0.0244333008243881
38,1.00811224645274,1.00810219155908,1.00812230134641,1.03280199925061,1.03271662731991,1.03288737118131,-0.0246897527978658,-0.0247705846671529,-0.0246089209285786
39,1.00827858348092,1.00826848716742,1.00828867979441,1.033114045908,1.03302862256136,1.03319946925465,-0.0248354624270845,-0.0249163238180243,-0.0247546010361447
40,1.0084426325357,1.00843249046211,1.00845277460929,1.03339962273849,1.03331400533742,1.03348524013956,-0.0249569902027906,-0.0250380363182114,-0.0248759440873698
41,1.00860298859792,1.00859280978456,1.00861316741128,1.03365782341605,1.03357207524027,1.03374357159183,-0.0250548348181316,-0.0251360034864904,-0.0249736661497728
42,1.00876088107476,1.00875066697588,1.00877109517365,1.03388935954083,1.03380358088913,1.03397513819253,-0.0251284784660692,-0.0252096859755225,-0.0250472709566159
43,1.00891719865801,1.00890692838373,1.00892746893229,1.03409896912116,1.03401310984457,1.03418482839776,-0.0251817704631502,-0.0252630289249853,-0.0251005120013151
44,1.00907050265218,1.0090601867604,1.00908081854396,1.03428703757397,1.03420119172494,1.034372883423,-0.0252165349217855,-0.0252977686414471,-0.0251353012021239
45,1.00922090929159,1.00921052510352,1.00923129347966,1.03445420009565,1.03436828238221,1.03454011780908,-0.0252332908040549,-0.0253145777003637,-0.0251520039077461
46,1.00936937331562,1.00935895711473,1.00937978951651,1.0346085143919,1.03452260424338,1.03469442454042,-0.025239141076283,-0.0253204139708539,-0.0251578681817121
47,1.00951548726778,1.00950504012408,1.00952593441148,1.03475265866282,1.03466676990404,1.03483854742161,-0.0252371713950423,-0.02531841910039,-0.0251559236896946
48,1.00965866593026,1.00964822698457,1.00966910487595,1.03489218639035,1.0348063169079,1.03497805587279,-0.0252335204600845,-0.02531475672688,-0.025152284193289
