stage_t,regret_pop_eto_mean,regret_pop_ieo_mean,regret_pop_eto_se,regret_pop_ieo_se,regret_pop_eto_minus_ieo,regret_pop_eto_median,regret_pop_ieo_median,regret_pop_eto_p95,regret_pop_ieo_p95,regret_pop_eto_p99,regret_pop_ieo_p99,max_regret_eto,max_regret_ieo,max_contribution_to_mean_eto,max_contribution_to_mean_ieo,delta_pop_mean,delta_pop_se,delta_pop_bootstrap_ci_low,delta_pop_bootstrap_ci_high,method_with_lower_mean_regret
10,1.31709922914305e-05,1.12190052008238e-05,1.65639164855147e-08,2.60761546890206e-07,1.95198709060673e-06,1.30439917715741e-05,7.59204856229181e-06,1.43946064015704e-05,3.17629034553151e-05,1.57424004530139e-05,5.14086403814664e-05,2.33216171817182e-05,0.00020986145872553,0.000885340172770884,0.00935294417682057,1.95198709060673e-06,2.6122510254781e-07,1.44211485375946e-06,2.43617081566444e-06,IEO
11,1.25031102878227e-05,1.13270142697719e-05,1.48853051420711e-08,2.53812709321018e-07,1.1760960180508e-06,1.23813338899885e-05,7.7057806253962e-06,1.37266572008239e-05,3.22725171603825e-05,1.50114493497497e-05,6.02756301689821e-05,1.64238439948053e-05,0.000106710604624115,0.000656790335233674,0.00471044717004068,1.1760960180508e-06,2.53574670488339e-07,6.74663047246942e-07,1.65986927622059e-06,IEO
12,1.18900238893883e-05,1.05298221886243e-05,1.39961694018689e-08,2.39170465526713e-07,1.360201700764e-06,1.17642543866371e-05,7.49375187064239e-06,1.3063724288449e-05,2.96256948052487e-05,1.40512406274215e-05,4.95123432117784e-05,1.59014474685085e-05,0.000191923665884826,0.000668688625710009,0.00911333840433539,1.360201700764e-06,2.39335654729466e-07,8.91825234726078e-07,1.82745995364696e-06,IEO
13,1.1305479265994e-05,1.03025916761915e-05,1.45207059765607e-08,2.35638314470543e-07,1.00288758980246e-06,1.11657986435778e-05,7.24069643084316e-06,1.25291071075977e-05,2.93045673086488e-05,1.36723570136783e-05,5.41849168706034e-05,1.50718122238781e-05,0.000106609027701105,0.000666571131982569,0.00517389366927303,1.00288758980246e-06,2.35994172692579e-07,5.47790194602276e-07,1.44573418440155e-06,IEO
14,1.07090407909985e-05,9.79607744087533e-06,1.32107058615733e-08,2.38987036375605e-07,9.12963350123184e-07,1.05944273582304e-05,6.62168621278383e-06,1.18651539921907e-05,2.80209829710455e-05,1.26837040197807e-05,5.16747395551739e-05,1.42756521796354e-05,0.00012929884649275,0.000666523382357214,0.00659952145504867,9.12963350123184e-07,2.39013970762607e-07,4.02148972863819e-07,1.35621177223252e-06,IEO
15,1.01124078963655e-05,9.5505891859748e-06,1.26257153998834e-08,2.19984318874318e-07,5.6181871039069e-07,1.00142246014665e-05,6.5570381262922e-06,1.11652687111056e-05,2.7343304395078e-05,1.20366044686463e-05,4.71924809725207e-05,1.62541436684589e-05,0.000147153659806493,0.00080367326135553,0.00770390480320267,5.6181871039069e-07,2.20280125786317e-07,1.34321455650203e-07,9.65160215861552e-07,IEO
16,9.5534044240712e-06,8.71593960954734e-06,1.20960980008727e-08,1.97171894829179e-07,8.37464814523863e-07,9.45257397228982e-06,5.86954414988649e-06,1.05729961506863e-05,2.51821410344973e-05,1.1333057288483e-05,4.51149645510353e-05,1.47016493127632e-05,8.3007805074435e-05,0.000769445564123731,0.00476183915865532,8.37464814523863e-07,1.97616332767176e-07,4.24369067494276e-07,1.22013984691968e-06,IEO
17,8.98673785393269e-06,8.27406922148522e-06,1.09944331487764e-08,1.97231967227951e-07,7.12668632447483e-07,8.88813779787149e-06,5.75264407961784e-06,9.87397301920606e-06,2.30560418800749e-05,1.08132633930302e-05,4.51088553666742e-05,1.34809631757901e-05,0.000121755636750003,0.000750047647706263,0.00735766365320228,7.12668632447483e-07,1.97811958588979e-07,3.25098170974253e-07,1.09788094333083e-06,IEO
18,8.47929111255364e-06,7.68232281863466e-06,1.03387162595146e-08,1.62768749049209e-07,7.96968293918989e-07,8.39696602477926e-06,5.45561468421504e-06,9.35117069955583e-06,2.13461083554603e-05,9.9644787042674e-06,3.7316278575785e-05,1.18892614957773e-05,7.66862312819475e-05,0.000701076383506588,0.00499108362746312,7.96968293918989e-07,1.6340415508884e-07,4.65765935117361e-07,1.11748266532863e-06,IEO
19,7.97590833491833e-06,7.56708762788788e-06,1.05144315173124e-08,1.7073032469297e-07,4.0882070703046e-07,7.88642342987057e-06,5.31873917651464e-06,8.84567104570514e-06,2.12797991078808e-05,9.56303503574701e-06,4.07026931731889e-05,1.28249786384789e-05,8.80027590150505e-05,0.000803982324015148,0.00581483678679255,4.0882070703046e-07,1.71029692264474e-07,5.20316078442724e-08,7.21077658562481e-07,IEO
