stage_t,regret_pop_eto_mean,regret_pop_ieo_mean,regret_pop_eto_se,regret_pop_ieo_se,regret_pop_eto_ci_low,regret_pop_eto_ci_high,regret_pop_ieo_ci_low,regret_pop_ieo_ci_high,old_proxy_regret_eto_mean,old_proxy_regret_ieo_mean,difference_pop_eto_minus_ieo,difference_proxy_eto_minus_ieo
15,1.52103973505739e-06,2.4792678387255622e-06,1.1329860579686704e-08,5.269799677462527e-08,1.4988332083212041e-06,1.543246261793576e-06,2.3759797650472966e-06,2.582555912403828e-06,0.013658637258262538,0.007411130491186607,-9.582281036681722e-07,0.0062475067670759304
16,1.440950210188923e-06,2.2843040448432583e-06,1.0844395785116743e-08,4.5177718567628607e-08,1.4196951944500941e-06,1.4622052259277518e-06,2.1957557164507063e-06,2.3728523732358103e-06,0.012852219298289272,0.0068362852985402464,-8.433538346543354e-07,0.006015933999749025
17,1.340921685033319e-06,2.0782604529956734e-06,9.806298982608224e-09,4.048941896896951e-08,1.3217013390274069e-06,1.3601420310392312e-06,1.9989011918164934e-06,2.1576197141748535e-06,0.012117316305973284,0.00623239514819543,-7.373387679623544e-07,0.005884921157777855
18,1.2821258383408354e-06,1.972173692157504e-06,9.156485228971662e-09,3.652675105622682e-08,1.264179127292051e-06,1.3000725493896198e-06,1.9005812600872993e-06,2.0437661242277085e-06,0.011310064338468321,0.005467965969240167,-6.900478538166685e-07,0.005842098369228154
19,1.2181223424569853e-06,1.880775010684564e-06,9.408815653780583e-09,3.749338028946978e-08,1.1996810637755753e-06,1.2365636211383952e-06,1.8072879853172032e-06,1.954262036051925e-06,0.010720727008251595,0.0053458465285379795,-6.626526682275788e-07,0.0053748804797136155
20,1.1467798113746805e-06,1.722357032808844e-06,8.85707902153228e-09,3.437736112075856e-08,1.1294199364924773e-06,1.1641396862568837e-06,1.6549774050121574e-06,1.7897366606055307e-06,0.010075294266782298,0.004306123046164151,-5.755772214341636e-07,0.005769171220618147
21,1.0585982034809896e-06,1.6374193417998434e-06,7.666649541886809e-09,3.183848894325092e-08,1.0435715703788914e-06,1.0736248365830878e-06,1.5750159034710716e-06,1.6998227801286152e-06,0.009339092262427929,0.004735657777648928,-5.788211383188538e-07,0.004603434484779001
22,1.0054446865658627e-06,1.529020135099882e-06,7.591119009534181e-09,3.0237575814059804e-08,9.905660933071757e-07,1.0203232798245498e-06,1.4697544865043249e-06,1.5882857836954393e-06,0.00870043472600031,0.004040131442449568,-5.235754485340194e-07,0.004660303283550742
23,9.443073218123375e-07,1.4241235231908242e-06,7.878909071012385e-09,3.335565508660589e-08,9.288646600331532e-07,9.597499835915217e-07,1.3587464392210767e-06,1.4895006071605717e-06,0.008079807592588766,0.0035965090735560028,-4.798162013784867e-07,0.004483298519032763
24,8.790746661689393e-07,1.2875384745172883e-06,6.868029725920816e-09,2.4846746991632254e-08,8.656133279061345e-07,8.925360044317441e-07,1.238838850413689e-06,1.3362380986208876e-06,0.007568586604704614,0.003434312442606749,-4.0846380834834896e-07,0.004134274162097865
25,8.111596975914654e-07,1.203974330984963e-06,6.191120633027762e-09,2.429521351208605e-08,7.99025101150731e-07,8.232942940321998e-07,1.1563557125012744e-06,1.2515929494686516e-06,0.006916515122559676,0.0034134928418495447,-3.9281463339349763e-07,0.003503022280710131
26,7.488590922988849e-07,1.0946520261978306e-06,5.790640676985924e-09,2.3826797719817807e-08,7.375094365719925e-07,7.602087480257772e-07,1.0479515026669876e-06,1.1413525497286736e-06,0.006358841877894955,0.0027752444057025003,-3.457929338989457e-07,0.003583597472192455
27,6.98794164881698e-07,1.0036991935081744e-06,5.608828223857031e-09,1.8678772798602755e-08,6.878008615629382e-07,7.097874682004578e-07,9.67088798822913e-07,1.0403095881934357e-06,0.005947827338916664,0.002470159223468987,-3.0490502862647643e-07,0.003477668115447677
28,6.446710021596795e-07,9.40056946253494e-07,5.10966715253681e-09,2.3392446643041816e-08,6.346560545407074e-07,6.546859497786516e-07,8.942077508331321e-07,9.859061416738559e-07,0.005405620395947101,0.0022856847261034704,-2.953859440938145e-07,0.003119935669843631
29,5.98718088446911e-07,8.266132693915251e-07,4.701237296315289e-09,1.5546763291052463e-08,5.895036633461331e-07,6.07932513547689e-07,7.961416133410623e-07,8.570849254419879e-07,0.004930119419117553,0.0018951018482744617,-2.2789518094461406e-07,0.0030350175708430916
