stage,regret_eto_mean,regret_eto_ci_lower,regret_eto_ci_upper,regret_ieo_mean,regret_ieo_ci_lower,regret_ieo_ci_upper,regret_eto_minus_ieo_mean,regret_difference_ci_lower,regret_difference_ci_upper,true_regret_eto_mean,true_regret_ieo_mean,true_regret_eto_minus_ieo_mean,intercept_gap_mean,intercept_gap_ci_lower,intercept_gap_ci_upper,slope_gap_mean,slope_gap_ci_lower,slope_gap_ci_upper,intercept_angle_mean,intercept_angle_ci_lower,intercept_angle_ci_upper,slope_angle_mean,slope_angle_ci_lower,slope_angle_ci_upper
10,0.0178052619136253,0.0176647839400556,0.017945739887195,0.00967723369442625,0.00885518695775512,0.0104992804310974,0.00812802821919903,0.00726181370547468,0.00899424273292338,1.96579003929041e-06,3.19997870966252e-06,-1.2341886703721e-06,45.9123774114557,45.1102341533058,46.7145206696056,19.785605049602,19.4655162328427,20.1056938663613,0.124824270689281,0.121414374433126,0.128234166945436,1.17014727000174,1.16411233409183,1.17618220591165
11,0.0168475330273862,0.016719876925352,0.0169751891294203,0.00921786832289902,0.0084149570816119,0.0100207795641861,0.00762966470448716,0.00678765827896172,0.00847167113001259,1.85630592868766e-06,3.03032883363537e-06,-1.17402290494771e-06,45.6291883942148,44.8482363234952,46.4101404649344,19.9010492080836,19.5844920409567,20.2176063752105,0.122201958776491,0.118682952750439,0.125720964802544,1.174040481014,1.16809439876832,1.17998656325969
12,0.0160186676698568,0.0158959075636236,0.01614142777609,0.00862632723756539,0.00787467688013793,0.00937797759499285,0.00739234043229141,0.00660559214471041,0.00817908871987241,1.77905391281976e-06,2.86490266405252e-06,-1.08584875123276e-06,44.8253375507172,44.0625009006015,45.5881742008329,19.8049880575513,19.4924206555319,20.1175554595707,0.125455309560315,0.122043201345977,0.128867417774653,1.17201156825236,1.16604296581707,1.17798017068765
13,0.0153273114249969,0.015207756035579,0.0154468668144149,0.0083436100003576,0.00766341190559781,0.00902380809511739,0.00698370142463931,0.0062653393114256,0.00770206353785303,1.71040831290107e-06,2.79178748484314e-06,-1.08137917194207e-06,43.9765568818902,43.2085022510318,44.7446115127487,19.709685386869,19.3901360024287,20.0292347713093,0.125604390199699,0.122110241089293,0.129098539310105,1.16874801289885,1.16247444671683,1.17502157908087
14,0.0145289741316691,0.0144213360223449,0.0146366122409932,0.00800780506941111,0.0072924765662998,0.00872313357252243,0.00652116906225795,0.0057729884820192,0.0072693496424967,1.61012344415199e-06,2.59445201666958e-06,-9.84328572517593e-07,42.7692344329003,41.9905687146336,43.5479001511671,19.4590490331479,19.1300140121259,19.7880840541699,0.126508242454457,0.122997290251419,0.130019194657494,1.16253772863358,1.15627599826676,1.1687994590004
15,0.0136586372582625,0.0135533500714208,0.0137639244451042,0.0074111304911866,0.00677182476518313,0.00805043621719007,0.00624750676707593,0.00558142108648141,0.00691359244767044,1.52103973505739e-06,2.47926783872557e-06,-9.58228103668179e-07,42.4719617634473,41.730223083205,43.2137004436897,19.5492048376664,19.2308053573937,19.8676043179391,0.124889658930064,0.121350602855602,0.128428715004525,1.16771974684207,1.16171637987906,1.17372311380508
16,0.0128522192982893,0.0127545244654852,0.0129499141310933,0.00683628529854024,0.00628006543462611,0.00739250516245437,0.00601593399974902,0.00543131887529269,0.00660054912420535,1.44095021018892e-06,2.28430404484326e-06,-8.4335383465434e-07,41.3753794898316,40.6526209387108,42.0981380409523,19.3641210577487,19.0500750256584,19.6781670898389,0.126150306230969,0.122488173491948,0.12981243896999,1.16380600556528,1.15778792475962,1.16982408637094
17,0.0121173163059733,0.0120219463079519,0.0122126863039947,0.00623239514819544,0.00570189518241565,0.00676289511397523,0.00588492115777783,0.00532495098568861,0.00644489132986705,1.34092168503332e-06,2.07826045299567e-06,-7.37338767962355e-07,40.2584922334741,39.5610287640732,40.955955702875,19.1140121632294,18.8086739384858,19.419350387973,0.125210073976487,0.12137946181411,0.129040686138865,1.16161569566178,1.15557281025509,1.16765858106847
18,0.0113100643384683,0.0112250752091274,0.0113950534678093,0.00546796596924018,0.0050222165455387,0.00591371539294165,0.00584209836922817,0.00537109978936904,0.00631309694908729,1.28212583834083e-06,1.9721736921575e-06,-6.9004785381667e-07,39.0521232186254,38.3843396734882,39.7199067637627,18.8473249569907,18.5484918967267,19.1461580172547,0.123565113495416,0.12013310583732,0.126997121153513,1.15707417906272,1.15097944748269,1.16316891064275
19,0.0107207270082516,0.0106373659335416,0.0108040880829616,0.00534584652853799,0.00486500582174477,0.00582668723533121,0.00537488047971359,0.0048720767572261,0.00587768420220109,1.21812234245699e-06,1.88077501068456e-06,-6.6265266822758e-07,38.5950187194742,37.9273467775499,39.2626906613986,18.8888544185296,18.5872045190231,19.1905043180361,0.126471287628698,0.123088665539301,0.129853909718095,1.15912532246841,1.15314630280301,1.16510434213381
