statistic_name,stage_t,mean,se,median,p95,p99,bootstrap_ci_low,bootstrap_ci_high
intercept_gap,37,76.257769617076,0.452542647327929,73.0221963886196,113.038793248145,139.272270957096,75.3851850048779,77.0864545682736
intercept_gap,38,71.4784285785106,0.423920927339689,68.4039624193471,105.560476776255,132.264823727778,70.6015292369617,72.3194257100459
intercept_gap,39,67.9008221145727,0.398849951497331,65.2663753973707,100.726765873051,123.669008899428,67.1250549350106,68.6901450345888
intercept_gap,40,63.3818417374329,0.368879377933524,60.7869286574432,92.645505761654,115.178985059525,62.6925960271691,64.0899385833335
intercept_gap,41,58.8524604749093,0.349572286265271,56.3222371726103,87.3727539913359,109.567193475741,58.1619021820444,59.5187089778386
intercept_gap,42,55.0530028983496,0.330459551376628,52.7878487198034,81.6483402025295,102.495390797513,54.3760551825434,55.6618759712588
intercept_gap,43,50.2875610747833,0.295850242744692,48.7236706849473,73.8392033772542,95.4497076469218,49.7247968677191,50.8559537311388
intercept_gap,44,44.9758077443284,0.272280099643709,43.277491815096,66.8795716307861,83.7185626393654,44.4371525540414,45.5400575565278
intercept_gap,45,39.071559469546,0.227172795012264,37.4958359085726,57.8656049858211,69.5769081550457,38.6537948756177,39.5228275078571
intercept_gap,46,32.3200747771716,0.190263179793261,31.1457118290904,48.4986461791472,58.3177025946352,31.9535372738852,32.6989067699996
intercept_gap,47,24.2273826409482,0.143010397646618,23.2653026583248,35.5760308253476,43.1261752897268,23.9613462169859,24.5097263453468
intercept_gap,48,13.9555240493724,0.085773098455465,13.3138656877762,21.0687372464251,25.4020150744929,13.7838285410117,14.1193081464708
intercept_gap,49,0.0380238382233918,0.000169931368894345,0.0382584789651464,0.0497133571849756,0.0561373666278374,0.0376995615675612,0.0383562961660169
slope_gap,0,61.9509057585465,0.351759059763817,59.3619412684129,91.0381105736396,109.333794825751,61.244457020834,62.6455824277283
slope_gap,1,60.8706894752448,0.340867999114737,58.3896836214516,89.8249106548651,103.334533090595,60.2209043737214,61.557098516448
slope_gap,2,61.1336023902678,0.336077712052007,59.1715984094129,88.5499141725164,106.945112632781,60.4822336940517,61.8134619247159
slope_gap,3,60.5276231021932,0.344356692124413,57.8662572247968,89.5144924179352,107.566131875469,59.8664184062829,61.2229264835105
slope_gap,4,60.8964614979452,0.335109785460084,58.5171298056206,90.2112396361331,105.297899670212,60.2612147971527,61.5606605916653
slope_gap,5,60.8029582207771,0.345831624143788,58.4110145935181,89.0756607544308,109.438257379398,60.1028578089403,61.4836635820917
slope_gap,6,60.2933320424593,0.340553220525226,57.5669254977359,89.6965513882549,107.788874952863,59.5897790958232,60.9974097535656
slope_gap,7,60.8641533340659,0.346518311783559,58.3901454254109,89.7883320921982,109.396281557547,60.1902116571846,61.5680799727905
slope_gap,8,60.6090652621778,0.346657594616766,58.0888474950468,89.7704314301006,106.776329438978,59.9029529835638,61.283936203241
slope_gap,9,60.1433010644524,0.333207033371171,57.9229834747373,87.8201188319894,105.0361775973,59.5170466528334,60.8257276963589
slope_gap,10,59.3206007495093,0.336773736873706,57.3622357782806,87.605271704008,104.161236846452,58.6685877746758,60.006677290547
slope_gap,11,60.012233464942,0.337233918401131,57.7841711798402,88.0150054669953,104.538466323767,59.380335282999,60.6601820584509
slope_gap,12,59.5443565215774,0.33527169229665,57.568052571209,86.6994031734346,105.13687419076,58.9011602114115,60.177416985731
